[2025-05-03 18:22:54] [INFO    ] discord.client: logging in using static token
[2025-05-03 18:22:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Krano', 'primary_guild': None, 'mfa_enabled': False, 'id': '1368199583523409953', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0257', 'clan': None, 'bot': True, 'avatar': '2073b7770a3076bb1100af80822cf5e9'}, 'session_type': 'normal', 'session_id': '367fba5731bf9e3281e600c802040e96', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1368081567146049617'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'hongkong', 'singapore', 'dubai', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1368199583523409953', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-x3zb",{"micros":57773,"calls":["id_created",{"micros":521,"calls":[]},"session_lookup_time",{"micros":2895,"calls":[]},"session_lookup_finished",{"micros":25,"calls":[]},"discord-sessions-prd-2-127",{"micros":53959,"calls":["start_session",{"micros":39845,"calls":["discord-api-rpc-57b989596-tsjjs",{"micros":31695,"calls":["get_user",{"micros":5608},"get_guilds",{"micros":3165},"send_scheduled_deletion_message",{"micros":37},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1060},"apex_user_experiments",{"micros":2},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":21,"calls":[]},"presence_started",{"micros":7400,"calls":[]},"guilds_started",{"micros":58,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":6618,"calls":[]},"connect_finished",{"micros":6622,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-05-03 18:22:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:22:57] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 367fba5731bf9e3281e600c802040e96).
[2025-05-03 18:22:57] [DEBUG   ] discord.client: Dispatching event connect
[2025-05-03 18:22:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 2, 'op': 0, 'd': {'user': {'username': 'Krano', 'public_flags': 0, 'primary_guild': None, 'id': '1368199583523409953', 'global_name': None, 'display_name': None, 'discriminator': '0257', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2073b7770a3076bb1100af80822cf5e9'}, 'roles': ['1368200554324693076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T12:20:32.153211+00:00', 'guild_id': '1368081567146049617', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}}
[2025-05-03 18:22:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:22:57] [DEBUG   ] discord.state: GUILD_MEMBER_UPDATE referencing an unknown member ID: 1368199583523409953. Discarding.
[2025-05-03 18:22:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'voice_states': [], 'guild_scheduled_events': [], 'region': 'deprecated', 'mfa_level': 0, 'afk_timeout': 300, 'profile': None, 'presences': [], 'max_video_channel_users': 25, 'latest_onboarding_question_id': None, 'emojis': [], 'roles': [{'version': 1746246463372, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1368081567146049617', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746247624842, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Owner', 'mentionable': False, 'managed': False, 'id': '1368084907858989066', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 16711680}, 'color': 16711680}, {'version': 1746247453772, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1721826618638327', 'name': 'Founder', 'mentionable': False, 'managed': False, 'id': '1368085407652384859', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 1752220}, 'color': 1752220}, {'version': 1746258653849, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '2108863301550079', 'name': 'Bot captain', 'mentionable': False, 'managed': False, 'id': '1368132487238385695', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1746274832134, 'unicode_emoji': None, 'tags': {'bot_id': '1368199583523409953'}, 'position': 1, 'permissions': '1719631827959031', 'name': 'Krano', 'mentionable': False, 'managed': True, 'id': '1368200554324693076', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'max_stage_video_channel_users': 50, 'hub_type': None, 'id': '1368081567146049617', 'home_header': None, 'large': False, 'max_members': 500000, 'explicit_content_filter': 0, 'owner_id': '1048110632983089172', 'moderator_reporting': None, 'name': 'Legend of unknown', 'incidents_data': None, 'public_updates_channel_id': None, 'nsfw_level': 0, 'inventory_settings': None, 'rules_channel_id': None, 'banner': None, 'safety_alerts_channel_id': None, 'threads': [], 'members': [{'user': {'username': 'Krano', 'public_flags': 0, 'primary_guild': None, 'id': '1368199583523409953', 'global_name': None, 'display_name': None, 'discriminator': '0257', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2073b7770a3076bb1100af80822cf5e9'}, 'roles': ['1368200554324693076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T12:20:32.153211+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_subscription_count': 0, 'activity_instances': [], 'application_command_counts': {}, 'discovery_splash': None, 'lazy': True, 'description': None, 'stage_instances': [], 'stickers': [], 'soundboard_sounds': [], 'vanity_url_code': None, 'premium_tier': 0, 'premium_features': None, 'embedded_activities': [], 'preferred_locale': 'en-US', 'system_channel_id': '1368081567146049620', 'default_message_notifications': 0, 'icon': 'f31a1533c3918187bd6214152bbfad8a', 'channels': [{'version': 1746246463373, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1368081567146049618', 'flags': 0}, {'version': 1746246463377, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1368081567146049619', 'flags': 0}, {'version': 1746246463383, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1368081567146049618', 'name': 'general', 'last_message_id': '1368200554895114291', 'id': '1368081567146049620', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1746246463389, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1368081567146049619', 'name': 'General', 'last_message_id': None, 'id': '1368081567146049621', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'application_id': None, 'member_count': 3, 'system_channel_flags': 0, 'verification_level': 0, 'nsfw': False, 'version': 1746256516089, 'joined_at': '2025-05-03T12:20:32.153211+00:00', 'unavailable': False, 'premium_progress_bar_enabled': False, 'afk_channel_id': None, 'splash': None, 'features': []}}
[2025-05-03 18:22:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:22:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 4, 'op': 0, 'd': {'nonce': '3a83cb15de13844fe5adc481f801e7ca', 'members': [{'user': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'display_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'phinixprono', 'public_flags': 0, 'primary_guild': None, 'id': '1363851493677207704', 'global_name': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T07:12:32.142000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Krano', 'public_flags': 0, 'primary_guild': None, 'id': '1368199583523409953', 'global_name': None, 'display_name': None, 'discriminator': '0257', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2073b7770a3076bb1100af80822cf5e9'}, 'roles': ['1368200554324693076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T12:20:32.153211+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1368081567146049617', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-03 18:22:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:22:57] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1368081567146049617.
[2025-05-03 18:22:59] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-03 18:22:59] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-03 18:23:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '1048110632983089172', 'timestamp': 1746275003, 'member': {'user': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'display_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1368081567146049620', 'guild_id': '1368081567146049617'}}
[2025-05-03 18:23:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:23:23] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-03 18:23:23] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-03 18:23:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T12:23:24.023000+00:00', 'pinned': False, 'nonce': '1368201273572065280', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368201275472351383', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1368081567146049620', 'author': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'attachments': [], 'guild_id': '1368081567146049617'}}
[2025-05-03 18:23:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:23:24] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 18:23:24] [DEBUG   ] discord.client: Dispatching event command
[2025-05-03 18:23:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T12:23:24.471000+00:00', 'pinned': False, 'nonce': '16660034886913100514', 'mentions': [{'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'member': {'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1048110632983089172', 'global_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1368200554324693076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T12:20:32.153211+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368201277351399435', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@1048110632983089172>!', 'components': [], 'channel_type': 0, 'channel_id': '1368081567146049620', 'author': {'username': 'Krano', 'public_flags': 0, 'primary_guild': None, 'id': '1368199583523409953', 'global_name': None, 'discriminator': '0257', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2073b7770a3076bb1100af80822cf5e9'}, 'attachments': [], 'guild_id': '1368081567146049617'}}
[2025-05-03 18:23:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:23:24] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 18:23:24] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368081567146049620/messages with {"content":"Hello <@1048110632983089172>!","components":[],"nonce":"16660034886913100514","enforce_nonce":true,"tts":false} has returned 200
[2025-05-03 18:23:24] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-05-03 18:23:24] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368081567146049620/messages has received {'type': 0, 'content': 'Hello <@1048110632983089172>!', 'mentions': [{'id': '1048110632983089172', 'username': 'phinixprono1234', 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'Phinix', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-05-03T12:23:24.471000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1368201277351399435', 'channel_id': '1368081567146049620', 'author': {'id': '1368199583523409953', 'username': 'Krano', 'avatar': '2073b7770a3076bb1100af80822cf5e9', 'discriminator': '0257', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16660034886913100514'}
[2025-05-03 18:23:24] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-03 18:23:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-05-03 18:23:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-03 18:24:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-05-03 18:24:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-03 18:24:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '1048110632983089172', 'timestamp': 1746275095, 'member': {'user': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'display_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1368081567146049620', 'guild_id': '1368081567146049617'}}
[2025-05-03 18:24:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:24:55] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-03 18:24:55] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-03 18:24:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T12:24:56.814000+00:00', 'pinned': False, 'nonce': '1368201661989781504', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368201664666013797', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!help', 'components': [], 'channel_type': 0, 'channel_id': '1368081567146049620', 'author': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'attachments': [], 'guild_id': '1368081567146049617'}}
[2025-05-03 18:24:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:24:56] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 18:24:56] [DEBUG   ] discord.client: Dispatching event command
[2025-05-03 18:24:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T12:24:57.226000+00:00', 'pinned': False, 'nonce': '11695197214189877225', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1368200554324693076'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T12:20:32.153211+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368201666394067058', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '```\n\u200bNo Category:\n  assign \n  dm     \n  hello  \n  help   Shows this message\n  poll   \n  remove \n  reply  \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```', 'components': [], 'channel_type': 0, 'channel_id': '1368081567146049620', 'author': {'username': 'Krano', 'public_flags': 0, 'primary_guild': None, 'id': '1368199583523409953', 'global_name': None, 'discriminator': '0257', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '2073b7770a3076bb1100af80822cf5e9'}, 'attachments': [], 'guild_id': '1368081567146049617'}}
[2025-05-03 18:24:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:24:57] [DEBUG   ] discord.client: Dispatching event message
[2025-05-03 18:24:57] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368081567146049620/messages with {"content":"```\n\u200bNo Category:\n  assign \n  dm     \n  hello  \n  help   Shows this message\n  poll   \n  remove \n  reply  \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```","components":[],"nonce":"11695197214189877225","enforce_nonce":true,"tts":false} has returned 200
[2025-05-03 18:24:57] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368081567146049620/messages has received {'type': 0, 'content': '```\n\u200bNo Category:\n  assign \n  dm     \n  hello  \n  help   Shows this message\n  poll   \n  remove \n  reply  \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-05-03T12:24:57.226000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1368201666394067058', 'channel_id': '1368081567146049620', 'author': {'id': '1368199583523409953', 'username': 'Krano', 'avatar': '2073b7770a3076bb1100af80822cf5e9', 'discriminator': '0257', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '11695197214189877225'}
[2025-05-03 18:24:57] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-03 18:25:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 11, 'op': 0, 'd': {'user_id': '1048110632983089172', 'timestamp': 1746275100, 'member': {'user': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'display_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1368081567146049620', 'guild_id': '1368081567146049617'}}
[2025-05-03 18:25:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 18:25:00] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-03 18:25:00] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-03 18:25:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-05-03 18:25:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-03 18:25:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 12, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-03T12:25:05.751000+00:00', 'pinned': False, 'nonce': '1368201700136976384', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1368084907858989066', '1368085407652384859'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T04:27:43.349000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1368201702150377532', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!dm hello', 'components': [], 'channel_type': 0, 'channel_id': '1368081567146049620', 'author': {'username': 'phinixprono1234', 'public_flags': 128, 'primary_guild': None, 'id': '1048110632983089172', 'global_name': 'Phinix', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '32dfb0b970c6a3a9bf2b4a3df55daf70'}, 'attachments': [], 'guild_id': '1368081567146049617'}}
